CITY,1951-61,1961-71,1971-81,1981-91,1991-01,2001-11,2011-21
accra,0,1,1,8,11,13,28
Ahmedabad,4,2,2,10,12,15,23
Ahvaz,1,1,4,0,11,19,27
algeris,3,3,3,6,11,13,20
Anqing,8,11,6,8,2,6,4
Antwerpen,7,4,6,7,13,7,10
Arusha,4,4,2,7,9,13,19
Astrakhan,4,2,10,3,3,15,22
Baghdad,7,11,12,3,3,1,4
Bangkok,3,1,5,5,15,18,23
Beijing,2,5,2,3,6,20,9
Beira,6,2,2,8,14,16,19
belgaum,2,11,3,12,8,11,12
Bishan,11,7,7,1,7,9,8
Bukhara,4,4,4,9,8,14,23
Caracas,4,1,4,3,11,24,15
Changzhou,5,7,5,5,5,13,5
Cheonan,4,4,9,6,8,10,6
Chicago,4,7,12,10,6,12,0
Cirebon,3,4,4,4,7,17,5
Cordoba,13,6,9,5,7,8,9
Culiacan,20,9,5,2,2,7,37
Fukuoka,4,6,11,3,7,11,5
Gainesville,7,4,7,4,4,6,12
halle,7,3,6,7,9,7,16
hangzhou,2,6,10,4,7,12,4
Ilheus,4,6,4,11,6,6,28
Jaipur,14,6,2,4,4,14,11
Johannesburg,2,5,3,4,5,9,26
Kairouan,0,4,1,9,10,15,21
karachi,2,3,0,1,0,4,10
Killeen,11,3,5,3,6,5,10
Kolkata,5,6,4,10,5,9,12
kozhikode,3,3,2,3,2,28,40
leon,2,12,9,5,9,5,12
Leshan,6,2,1,5,10,15,20
Lubumbashi,0,0,2,0,20,17,31
Malatya,3,7,10,9,5,9,17
Manchester,10,7,9,9,8,7,11
Manila,2,2,11,5,11,10,13
Moscow,17,8,13,3,11,3,8
Nakuru,2,6,6,6,7,7,11
Parepare,8,7,7,6,8,9,8
pingxiang,4,6,9,9,4,15,11
port_elizabeth,2,6,4,7,10,10,9
Pune,7,5,6,4,9,13,10
Quito,1,7,3,11,6,11,17
raleigh,5,5,7,12,8,13,3
Riyadh,4,2,1,3,14,18,29
Saint_Petersburg,8,7,8,3,13,8,6
San_Salvador,0,0,1,6,9,26,22
Singapore,4,5,6,11,13,8,20
Sitapur,7,3,7,3,4,17,19
Suva,12,11,3,10,7,4,5
Sydney,2,3,6,10,9,9,4
tehran,2,8,5,2,9,17,19
Tel_Aviv,6,6,1,2,8,13,40
Tianjian,1,2,2,5,6,18,11
Toledo,8,10,5,6,6,8,3
Tyumen,6,5,7,8,8,5,7
Ulaanbaatar,5,7,3,7,5,11,12
Valledupar,7,7,7,5,9,9,2
Victoria,12,6,8,5,8,6,6
Zwolle,7,5,6,9,8,8,16
